reach_id,time,p_lat,p_lon,wse,wse_u,width,width_u,reach_q,reach_q_b,dark_frac,ice_clim_f,obs_frac_n,ice_dyn_f,slope2,slope2_r_u,xovr_cal_q,p_width,p_n_ch_max,p_n_ch_mod,p_length,slope,slope_r_u,date
23285000121,754051513.716,51.49661632,13.1132495,80.4361,0.09623,118.450218,0.638374,1,8,0.00017004262,0,1.0,-999,0.00030218664,1.53789e-06,0,111.865818,1,1,11552.63424,0.00031053134,2.243031e-05,2023-11-23
74244700401,754028321.739,38.16772236,-95.7247595,301.3394,0.1389,9.423943,0.226128,1,4,0.0,0,0.55172413793,-999,9.481934e-05,1.883005e-05,0,36.0,1,1,11523.100852,0.00012662063,4.691549e-05,2023-11-23
74294400031,754028260.734,41.43379075,-97.6968054,467.3535,0.09381,131.816621,0.788564,1,12,0.0,0,0.97058823529,-999,0.00083641645,2.55889e-06,0,94.0,2,1,13605.879071,0.00080880782,2.828922e-05,2023-11-23
74295600031,754028236.864,42.7452324,-98.2421023,402.6226,0.09233,355.383599,1.0041,1,12,0.00128647444,0,1.0,-999,0.00131531458,5.5124e-07,0,315.0,4,1,11720.229927,0.00131554241,1.627646e-05,2023-11-23
66240000161,806820473.841,-36.07280352,-72.0822258,117.2862,0.11507,40.666782,0.30698,1,4,0.19154275553,0,0.68131868132,-999,0.00054660345,2.74095e-06,0,67.0,2,1,18147.357537,0.00054212951,1.417207e-05,2025-07-26
71249000181,806825091.933,52.34670622,-116.2527077,1217.2036,0.09209,180.121705,1.000609,1,12,0.10346472685,0,0.98850574713,-999,0.00178166172,7.4824e-07,0,96.0,4,1,17442.992745,0.0017302367,2.421796e-05,2025-07-26
78299700071,806825254.637,43.3921725,-112.148983,1400.9504,0.09681,117.572344,0.55688,1,12,0.15683093427,0,0.94117647059,-999,0.0007330935,3.14054e-06,0,105.0,2,1,13613.062397,0.00075427338,3.160347e-05,2025-07-26
78360000041,806879476.706,55.25426582,-129.0890486,30.8639,0.0924,355.17002,0.791083,1,12,0.11398979782,0,1.0,-999,0.0009371116,6.631e-07,0,208.5,3,1,14955.233369,0.00092639581,1.469597e-05,2025-07-26
72558200191,806866931.181,44.62321831,-83.846507,255.4986,0.1021,68.359819,0.459124,1,12,0.08509807618,0,1.0,-999,0.00096334957,9.24509e-06,0,54.0,3,1,10186.912251,0.00087735423,3.295915e-05,2025-07-26
82237000091,806824903.143,62.48894302,-123.4483302,109.4668,0.09261,242.228332,1.034795,1,12,0.01146379283,0,1.0,-999,0.00057294556,8.5726e-07,0,152.0,2,1,10796.82855,0.00057683566,2.179751e-05,2025-07-26
82289800011,806825062.374,54.00570705,-116.9098551,847.5507,0.09447,87.426976,0.659761,1,4,0.00257515897,0,1.0,-999,0.00334329793,1.13537e-06,0,60.0,2,1,11182.664626,0.00346340396,2.036252e-05,2025-07-26
22738100021,806842240.118,44.56344749,21.1290014,69.794,0.11741,37.345205,0.299394,1,4,0.31830486207,0,0.76923076923,-999,0.00017449634,7.76814e-06,0,84.0,2,1,10497.466594,0.00013344807,3.439405e-05,2025-07-26
22762100021,806842265.528,46.21241652,20.4223795,77.7225,0.0977,76.156465,0.525176,1,12,0.13057460273,0,0.94545454545,-999,0.0001806577,3.00711e-06,0,123.0,1,1,11066.903086,0.00018176189,2.617947e-05,2025-07-26
22762300091,806842267.45,46.10335017,21.6072167,114.1452,0.09651,62.374127,0.404256,1,12,0.05896818119,0,0.89795918367,-999,0.0006142645,1.01183e-06,0,63.0,2,1,19657.983668,0.00061121744,1.309231e-05,2025-07-26
62491000021,806813876.348,-11.934519,-50.6583372,191.1556,0.09455,550.509639,1.093153,1,12,0.30659256597,0,0.77272727273,-999,0.00012158233,4.8327e-07,0,626.0,4,1,17548.739543,0.00011847998,1.887395e-05,2025-07-26
71323000071,806818854.232,55.87939904,-92.1496305,71.138,0.09184,550.704892,1.277303,1,8,0.01242064672,0,1.0,-999,0.00048476694,5.3582e-07,0,495.0,3,1,10651.230775,0.00038547343,1.560907e-05,2025-07-26
82236000041,806879617.078,62.65417145,-122.9503486,105.7624,0.0949,136.481109,0.825283,1,12,0.02490218015,0,1.0,-999,0.00077437418,1.22343e-06,0,127.0,2,1,10810.486531,0.00077597419,1.922918e-05,2025-07-26
82237000091,806879612.62,62.48894302,-123.4483302,109.0091,0.10764,242.713274,1.483692,1,12,0.0090894954,0,0.83333333333,-999,0.00057844364,8.1675e-07,0,152.0,2,1,10796.82855,0.00058372973,1.792969e-05,2025-07-26
82242100051,806879591.28,61.27122523,-124.0866548,239.9397,0.15718,216.74348,0.653393,1,12,0.02145334728,0,0.81632653061,-999,0.00123972272,9.9049e-07,0,123.0,1,1,19473.83789,0.00124735749,5.654887e-05,2025-07-26
82249100021,806879555.04,59.70310132,-127.2918506,497.1749,0.09435,277.733581,1.009438,1,12,0.03261538458,0,1.0,-999,0.00055245556,9.7467e-07,0,234.0,2,1,10015.745015,0.00052834825,2.150593e-05,2025-07-26
77222300021,806872915.461,33.76761537,-111.6573994,464.0405,0.14837,9.718909,0.152984,1,4,0.0426701862,0,0.5,-999,0.00213562189,2.43145e-05,0,54.0,2,1,19626.786583,0.00210996758,3.543577e-05,2025-07-26
77299000171,806873062.726,42.1906604,-110.170452,1987.4607,0.09361,96.748099,1.010646,1,12,0.01580838366,0,0.98,-999,0.00122644263,1.19015e-06,0,42.0,2,1,9901.676046,0.00115487144,1.923554e-05,2025-07-26
63491000021,752559951.244,-16.60404024,-45.0901895,463.6316,0.10529,329.856861,0.784619,1,12,0.47913950256,0,0.85714285714,-999,0.00011893404,8.53574e-06,0,384.0,1,1,8448.631728,0.00010952348,4.486894e-05,2023-11-06
74294900021,752619058.87,42.23507714,-104.6085431,1294.4213,0.10025,22.103963,0.484556,1,4,0.03318104604,0,0.975,-999,0.00104055367,4.59405e-06,0,63.0,2,1,7965.033276,0.00102948079,3.761417e-05,2023-11-06
63306100031,752599700.574,-5.3294983,-36.7991491,4.2843,0.10073,31.158853,0.288448,1,12,0.0004909827,0,0.74747474747,-999,0.00021923787,3.14488e-06,0,151.0,4,1,19844.501163,0.00023175569,2.234279e-05,2023-11-06
63306100081,752599695.775,-5.59189282,-36.8920077,17.5052,0.14311,40.045084,0.540499,1,12,0.0,0,0.77419354839,-999,0.0003398233,1.811323e-05,0,237.0,4,1,6205.872526,0.00035486131,5.669972e-05,2023-11-06
