COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD,stationid,node_data_num,width_u_r
42020496,13,42249900340181,50.04889347,125.3211961,768960828.865,271.52296,0.13021,126.576772,4.104653,11200020.0,shihuiyao,47,0.03242816936428115
42020496,4,42249900340181,50.04916597,125.322228,753681053.432,271.71592,0.17779,220.113588,7.541025,11200020.0,shihuiyao,47,0.0342596977702258
42020496,4,42249900340181,50.04896706,125.321219,751878348.307,271.11145,0.0952,117.096307,6.767106,11200020.0,shihuiyao,47,0.057790942971412414
42020496,4,42249900340181,50.0489362,125.3210905,748272941.445,271.6166,0.09397,182.909715,8.116756,11200020.0,shihuiyao,47,0.04437575117319493
42020496,4,42249900340181,50.04891216,125.320962,744667530.745,271.02423,0.10305,132.223008,6.162979,11200020.0,shihuiyao,47,0.0466104885467437
42020496,4,42249900340181,50.04896966,125.3211937,773510804.472,271.06703,0.09874,96.17026,6.178577,11200020.0,shihuiyao,47,0.06424623371092061
42020496,10,42249900340181,50.04885937,125.3207835,743722961.052,271.30106,0.3161,136.990577,2.231112,11200020.0,shihuiyao,47,0.016286609260723093
42020496,5,42249900340181,50.04894122,125.3212662,773117005.632,271.45974,0.12297,135.263934,5.103689,11200020.0,shihuiyao,47,0.037731336425569285
42020496,5,42249900340181,50.04895141,125.3212262,744273730.366,271.08049,0.13669,129.325594,4.775761,11200020.0,shihuiyao,47,0.03692819690431888
42020496,4,42249900340181,50.0488966,125.3212407,772258870.737,271.64239,0.0953,155.254838,8.947798,11200020.0,shihuiyao,47,0.05763297373058352
42020496,4,42249900340181,50.04889245,125.3212749,752429117.648,271.18025,0.10014,173.257328,10.45744,11200020.0,shihuiyao,47,0.06035785106878712
42020496,4,42249900340181,50.0488959,125.3215144,754231822.933,270.99761,0.12129,162.686605,9.438929,11200020.0,shihuiyao,47,0.058019091368954445
42020496,10,42249900340181,50.04895154,125.3212204,774368942.262,271.08928,0.15525,123.912073,4.107207,11200020.0,shihuiyao,47,0.033146140650879105
42020496,4,42249900340181,50.04890368,125.3212556,770456165.433,271.61545,0.09544,166.177521,8.613792,11200020.0,shihuiyao,47,0.051834880844082394
42020496,5,42249900340181,50.04910898,125.3213401,755089959.033,270.81063,0.3056,122.116893,3.09631,11200020.0,shihuiyao,47,0.02535529625700516
42020496,4,42249900340181,50.04901401,125.3211265,771708102.494,271.49345,0.09702,180.745369,11.006222,11200020.0,shihuiyao,47,0.060893521426820064
43027816,1,43210800030561,34.7207901,112.9302671,769258757.194,109.7008,0.14799,612.708277,25.735226,41657600.0,heishiguan,41,0.04200241283830413
43027816,4,43210800030561,34.72112824,112.9304928,770164419.313,108.64843,0.12391,67.789419,3.133404,41657600.0,heishiguan,41,0.046222611820880194
