node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,stationid,COMID,date
42481500090751,42481500091,748186381.357,42.33147147,123.8388596,53.09052,0.1118,87.252754,3.956235,0,0,0,0.0,165.0,1,1,0,-46826.90625,0.06633,218.73534274,SWOT_L2_HR_RiverSP_Node_003_437_AS_20230916T132834_20230916T133719_PGD0_01.zip,tieling,42059330,2023-09-16
42481500090751,42481500091,751791787.988,42.3314636,123.8388619,52.56765,0.10013,110.725481,4.342036,0,0,0,0.0,165.0,1,1,0,-46937.97266,0.04389,218.73534274,SWOT_L2_HR_RiverSP_Node_005_437_AS_20231028T065840_20231028T070726_PGD0_01.zip,tieling,42059330,2023-10-28
43428700010821,43428700011,752089897.806,32.43578461,115.4172037,22.19934,0.10802,179.484969,5.031486,1,1,0,0.0,122.0,1,1,0,-57742.32031,0.05973,229.15779104,SWOT_L2_HR_RiverSP_Node_005_534_AS_20231031T174623_20231031T175418_PGD0_01.zip,huaibin,43044183,2023-10-31
42257000080061,42257000081,750847350.675,49.36514078,128.9372294,108.96161,0.1471,38.136978,2.089892,0,0,0,0.12473598864,80.0,1,1,0,37418.35156,0.11636,217.67957961,SWOT_L2_HR_RiverSP_Node_005_131_AS_20231017T083421_20231017T084438_PGD0_01.zip,kuerbin,42026066,2023-10-17
42258000020291,42258000021,750847350.636,49.36403936,128.9307795,108.22693,0.10062,82.630835,4.320871,0,0,0,0.0,142.0,1,1,0,37015.44922,0.04499,223.19612151,SWOT_L2_HR_RiverSP_Node_005_131_AS_20231017T083421_20231017T084438_PGD0_01.zip,shuanghetun,42025887,2023-10-17
42243100090651,42243100091,751705425.637,45.96579989,128.7520015,100.94998,0.09164,1108.469132,10.404942,0,0,0,0.08755278963,799.0,2,2,0,41352.04688,0.01725,201.96998018,SWOT_L2_HR_RiverSP_Node_005_409_AS_20231027T070116_20231027T070655_PGD0_01.zip,tonghe,42045560,2023-10-27
42257000080041,42257000081,751705483.147,49.36833343,128.939569,108.59763,0.1364,77.0597,3.260753,1,1,0,0.19282817171,80.0,1,1,0,-48303.98828,0.10249,215.89651995,SWOT_L2_HR_RiverSP_Node_005_409_AS_20231027T070116_20231027T070655_PGD0_01.zip,kuerbin,42026066,2023-10-27
42249900150171,42249900151,748272954.102,50.04790807,125.3190944,271.39525,0.09658,164.461967,8.75888,0,0,0,0.0,84.0,1,1,0,20841.51758,0.03504,178.37263886,SWOT_L2_HR_RiverSP_Node_003_465_AS_20230917T132805_20230917T133750_PGD0_01.zip,shihuiyao,42020496,2023-09-17
42272100010491,42272100011,748272985.32,51.66930175,126.6108744,170.16731,0.10055,268.479925,5.41268,0,0,0,0.04942071599,123.0,1,1,0,52388.85547,0.04483,186.41649411,SWOT_L2_HR_RiverSP_Node_003_465_AS_20230917T132805_20230917T133750_PGD0_01.zip,humaqiao,42012937,2023-09-17
42272100010501,42272100011,748272985.291,51.66767353,126.6102323,170.33576,0.10327,235.199944,5.165411,0,0,0,0.03339874483,132.5,1,1,0,52403.35156,0.05064,188.72759747,SWOT_L2_HR_RiverSP_Node_003_465_AS_20230917T132805_20230917T133750_PGD0_01.zip,humaqiao,42012937,2023-09-17
42481500090751,42481500091,749989082.587,42.33143135,123.8388592,52.60315,0.10201,108.77445,4.318477,0,0,0,0.02274623604,165.0,1,1,0,-47690.26562,0.04802,218.73534274,SWOT_L2_HR_RiverSP_Node_004_437_AS_20231007T101335_20231007T102220_PGD0_01.zip,tieling,42059330,2023-10-07
43210800200021,43210800201,744965473.685,34.55404525,112.4717082,149.13551,0.11641,105.197349,4.066133,1,1,0,0.0,189.0,1,1,0,-59314.55859,0.07383,213.60212559,SWOT_L2_HR_RiverSP_Node_001_562_AS_20230810T064657_20230810T065452_PGD0_01.zip,longmenzhen,43027970,2023-08-10
42257000080061,42257000081,752650056.048,49.36489241,128.937108,109.05995,0.21376,73.331585,4.015025,0,0,1,0.0,80.0,1,1,0,37875.48047,0.19389,217.67957961,SWOT_L2_HR_RiverSP_Node_006_131_AS_20231107T051926_20231107T052944_PGD0_01.zip,kuerbin,42026066,2023-11-07
42258000020311,42258000021,752650055.95,49.36084204,128.9292475,107.85238,0.11724,134.548765,5.123697,0,0,1,0.0,150.0,1,1,0,37449.46875,0.07513,199.29503135,SWOT_L2_HR_RiverSP_Node_006_131_AS_20231107T051926_20231107T052944_PGD0_01.zip,shuanghetun,42025887,2023-11-07
42440400440891,42440400441,752649918.656,41.7429927,125.9541503,372.88211,0.1043,285.270288,6.58693,0,0,0,0.00599423361,256.0,1,1,0,39980.5625,0.0527,188.59632496,SWOT_L2_HR_RiverSP_Node_006_131_AS_20231107T051926_20231107T052944_PGD0_01.zip,tonghua,42060702,2023-11-07
42440400440901,42440400441,752649918.678,41.74377337,125.956247,373.05227,0.10593,200.267928,5.601411,0,0,0,0.00718479992,254.0,1,1,0,40110.84375,0.05587,222.52562473,SWOT_L2_HR_RiverSP_Node_006_131_AS_20231107T051926_20231107T052944_PGD0_01.zip,tonghua,42060702,2023-11-07
42460000140171,42460000141,744533198.509,41.26364675,122.6814179,3.86845,0.097,104.473613,6.042118,0,0,0,0.0,97.0,1,1,0,-35653.05859,0.03618,204.6448888,SWOT_L2_HR_RiverSP_Node_001_422_AS_20230805T064231_20230805T064708_PGD0_01.zip,xingjiawopeng,42061756,2023-08-05
42460000140181,42460000141,744533198.502,41.26446466,122.6835327,3.83479,0.09912,93.358261,6.341695,0,0,0,0.0,80.0,1,1,0,-35835.53906,0.04154,201.96843426,SWOT_L2_HR_RiverSP_Node_001_422_AS_20230805T064231_20230805T064708_PGD0_01.zip,xingjiawopeng,42061756,2023-08-05
42460001470281,42460001471,744533199.98,41.18264218,122.7161935,3.25514,0.0995,119.830167,6.21304,0,0,0,0.0,105.0,1,1,0,-36435.64844,0.04243,208.20620129,SWOT_L2_HR_RiverSP_Node_001_422_AS_20230805T064231_20230805T064708_PGD0_01.zip,tangmazhai,42061735,2023-08-05
