,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD
12,42272100010491,51.66926723,126.6107569,765355448.784,170.05503,0.09886,290.283988,6.959715,10400070.0
13,42272100010501,51.66778218,126.6100896,765355448.78,170.26802,0.10079,277.936855,7.769105,10400070.0
14,42460000040281,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,21110800.0
15,42460000040291,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,21110800.0
16,42460000040301,-999999999999.0,-999999999999.0,765355259.022,-999999999999.0,-999999999999.0,19.113975,2.663973,21110800.0
17,42460000150161,41.26296673,122.6792691,765355259.189,3.09059,0.09616,188.101318,8.734084,21101000.0
18,42460000150171,41.2637676,122.6812259,765355259.192,3.31157,0.11393,113.231591,8.122541,21101000.0
19,42460000150181,41.26449174,122.6833687,765355259.195,3.22487,0.10172,116.836112,9.081646,21101000.0
20,42481500090731,42.32835057,123.8363786,765355279.415,53.4649,0.16147,48.371224,2.692294,20600200.0
21,42481500090741,42.3301009,123.8374621,765355279.42,52.82279,0.10309,108.866738,4.096968,20600200.0
22,42481500090751,42.33142013,123.8389125,765355279.424,52.78225,0.10058,107.135727,4.224609,20600200.0
23,43120100160181,39.73052776,118.7567128,765393963.905,28.46519,0.11421,234.520571,5.751299,30101400.0
24,43120100160191,39.73254085,118.7559832,765393963.9,26.95396,0.34299,302.807058,7.587502,30101400.0
25,43120100160201,39.73375511,118.7554249,765393963.896,30.70695,0.82154,252.7992,5.762097,30101400.0
0,43428700010821,32.43587753,115.4161229,753892591.089,25.53452,0.99762,181.945809,0.139555,50100700.0
1,43428700020014,32.43556974,115.4155512,753892591.089,25.46742,0.36726,148.58223,0.826876,50100700.0
2,43428700020024,32.43526594,115.4128626,753892591.088,27.1353,0.15723,164.833606,1.931816,50100700.0
0,42460000040281,41.18265947,122.7162126,755349411.206,2.98803,0.09975,125.46778,5.185163,21110800.0
1,42460000040291,41.18411063,122.7176908,755349411.203,2.94266,0.09854,135.085322,5.136881,21110800.0
2,42460000040301,41.18578909,122.7188347,755349411.199,3.09237,0.10262,152.345482,6.697087,21110800.0
3,42460000150161,41.26289951,122.6793398,755349410.997,3.46082,0.0958,150.440549,10.338621,21101000.0
4,42460000150171,41.26366155,122.6814017,755349410.995,3.48012,0.09965,101.627552,6.715987,21101000.0
5,42460000150181,41.2644565,122.6835956,755349410.995,3.56962,0.09774,92.278654,7.570122,21101000.0
6,42243100090651,45.96621011,128.7516213,755310826.235,100.97606,0.0947,968.631864,15.22688,11022450.0
7,42243100090661,45.96432774,128.7498071,755310826.231,101.00087,0.09377,1041.423761,15.841358,11022450.0
8,42243200030021,45.80725831,128.7220132,755310817.268,111.24297,0.24541,36.810902,1.2916,11021670.0
9,42243200030031,45.80583145,128.7201267,755310817.263,111.36735,0.23778,57.79048,3.685694,11021670.0
10,42257000070041,49.36831237,128.9389764,755310877.327,109.34549,0.25211,109.595467,3.688033,10400241.0
11,42257000070051,49.36682902,128.9374585,755310877.322,109.87614,0.21361,110.370194,4.189008,10400241.0
12,42257000070061,49.36511025,128.9368437,755310877.317,109.69978,0.22914,82.792534,3.648752,10400241.0
13,42258000020291,49.36411817,128.9306152,755310877.312,108.25635,0.12523,112.909597,4.136697,10400171.0
14,42258000020301,49.362306,128.9298973,755310877.307,108.2449,0.13584,128.101246,4.518918,10400171.0
15,42258000020311,49.36070575,128.929064,755310877.303,107.99637,0.12073,120.37971,4.489542,10400171.0
16,42440400830891,41.74194394,125.9522763,755310746.254,372.53056,0.12261,230.339608,3.481005,11605400.0
17,42440400830901,41.74281216,125.9543186,755310746.258,372.65033,0.12642,261.534224,4.9216,11605400.0
18,42440400830911,41.74370474,125.9562015,755310746.261,372.77847,0.127,192.812546,3.726664,11605400.0
0,42249800140261,49.24752765,125.0786268,762694569.024,224.19373,0.14589,318.110896,8.743722,11200260.0
1,42249800140271,49.24955369,125.0800138,762694569.029,223.95141,0.12794,174.746214,6.528372,11200260.0
2,42249800140281,49.25104375,125.0838668,762694569.034,222.96208,0.19376,202.34647,7.602181,11200260.0
3,42249900340171,-999999999999.0,-999999999999.0,762694579.608,-999999999999.0,-999999999999.0,217.644863,7.626761,11200020.0
4,42249900340181,50.04065244,125.3286186,762694579.613,300.55854,0.19022,679.283323,12.847016,11200020.0
5,42249900340191,-999999999999.0,-999999999999.0,762694579.619,-999999999999.0,-999999999999.0,872.118083,16.609061,11200020.0
6,42272100010491,51.66885446,126.6125683,762694609.535,169.85269,0.22982,230.150815,3.361274,10400070.0
7,42272100010501,51.66741472,126.6120162,762694609.531,170.15187,0.24516,235.798956,3.124277,10400070.0
0,42481500090731,42.32791603,123.83531,753460255.515,51.04306,0.69525,8.085853,0.08368,20600200.0
1,42481500090741,42.33045678,123.8375918,753460255.513,52.91826,0.12479,94.172948,3.320326,20600200.0
2,42481500090751,42.33148529,123.8389214,753460255.51,52.72247,0.09858,100.487816,3.976002,20600200.0
3,42241500150101,46.83501263,130.3401987,753421700.025,75.85815,0.09911,1019.116015,5.656612,11121820.0
4,42241500150111,46.82916033,130.3340318,753421700.022,75.95321,0.09683,1167.081476,8.734651,11121820.0
0,42246100030131,-999999999999.0,-999999999999.0,756979185.281,-999999999999.0,-999999999999.0,245.861295,3.970036,10959200.0
1,42246100030141,-999999999999.0,-999999999999.0,756979185.283,-999999999999.0,-999999999999.0,282.388568,4.6272,10959200.0
2,42246100030151,-999999999999.0,-999999999999.0,756979185.285,-999999999999.0,-999999999999.0,240.643821,3.951587,10959200.0
3,42249800140261,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11200260.0
4,42249800140271,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11200260.0
5,42249800140281,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11200260.0
0,42257000070041,49.36885461,128.9396777,765268978.084,109.46674,0.34319,98.457063,2.973486,10400241.0
1,42257000070051,49.36654614,128.9376118,765268978.08,109.74757,0.19673,115.090576,4.650737,10400241.0
2,42257000070061,49.36476882,128.9370962,765268978.075,109.87446,0.13814,87.297583,3.627074,10400241.0
3,42258000020291,49.36386065,128.9307796,765268978.07,108.43473,0.14966,80.426687,2.193531,10400171.0
4,42258000020301,49.36226393,128.9302845,765268978.066,108.28108,0.15894,126.28499,3.58197,10400171.0
5,42258000020311,49.36122279,128.9292673,765268978.062,108.88976,0.29919,123.41131,2.950898,10400171.0
6,42440400830891,41.74179195,125.9522848,765268838.401,372.62892,0.114,265.433303,5.532525,11605400.0
