stationid,w50,w_low,w_high,num
Brazil_60907000,101.08025580741264,70.4970772792376,369.1346140818521,268
Brazil_60920000,94.08781995405505,80.94583795414394,113.15276367325666,166
Brazil_60968000,48.46893910133655,35.5665927956901,60.9802429211073,250
Brazil_61061080,64.58964821016407,47.38559973340508,81.36358770137943,222
Brazil_61410000,59.02410277294666,48.78427083088768,65.33002375289334,235
Brazil_61425000,48.901031094680434,36.75241249273119,56.81625896512542,217
Brazil_61537000,54.5486608650673,39.3299425712028,65.34499866647946,475
Brazil_61661000,691.6757427432765,636.1600458985716,734.2564450233987,254
Brazil_61740080,928.0607102850876,323.4808124071258,981.887943528485,320
Brazil_61796080,1882.86512926339,1856.869975498179,1903.5038309542895,303
Brazil_61811080,1532.98615495217,1452.1792990090912,1513.6758643789603,38
Brazil_61818080,302.56614379157264,265.9287169673404,332.45208888168776,500
Brazil_61819080,744.0494322809659,647.650186822225,804.005355733913,488
Brazil_61834000,84.9001033350271,68.54353060104708,104.83808398654637,273
Brazil_61855000,70.94851093197579,47.7583203561278,94.22901842755371,298
Brazil_61902000,67.5512194640753,56.15271741385318,71.9187552052871,263
Brazil_61910000,69.30375926485327,53.955655718346826,78.07352979502417,277
Brazil_61912000,73.14351768058047,57.941870077783996,92.83810113187303,279
Brazil_61915005,97.1039078967821,78.995768114172,111.0191839160845,365
Brazil_61925000,180.736662270943,156.77548209006477,205.0572722373349,279
Brazil_63002000,110.82452718603255,94.32241335134653,123.15433779683335,273
Brazil_63003100,68.85934404938213,60.111128999395575,77.12189700714049,266
Brazil_63280000,137.580122226009,50.3994349648084,158.51807807869895,238
Brazil_63390000,46.42147506815527,30.311168968072604,61.960079320872744,290
Brazil_63979000,349.2277404080156,61.02076845975593,402.9506521924072,318
Brazil_64391000,72.17421218900257,55.31479628569592,87.99957914246153,497
Brazil_64465000,67.01503119039432,56.33525741041248,77.25261585568161,153
Brazil_64482000,86.84204501633349,61.47948003957872,106.96042345896201,339
Brazil_64491000,72.24733509211764,48.819535969942216,95.02525850172715,309
Brazil_64501000,94.55582284349316,73.34575916167105,121.24050016329704,239
Brazil_64504700,168.845539739311,150.52014563651832,177.66164719266112,235
