stationid,date,width,area_hypso,qobs,Q_est,kge,nse,nrmse
shihuiyao,2008-08-06,102.71371419361684,57.77765688483683,77.7,22.684409473304793,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2008-08-29,96.037233480322,46.47997142455615,40.9,16.508079493028184,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2008-09-07,100.58935961565922,54.00907317770152,44.1,20.556842274809974,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2008-09-14,100.73263710722787,54.25861777301172,39.4,20.695740289064126,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2008-09-30,99.66261177762168,52.41709670998821,57.1,19.67795604662779,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2009-04-10,137.278196618473,145.338328102987,142.0,86.98528310182948,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2009-05-05,101.3878457048528,55.40639132606724,34.9,21.338099524997304,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2009-07-31,113.81929691620512,80.28578369106549,219.4736842105264,36.65504109952379,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2009-08-09,109.4078008959926,70.76255408095182,124.71428571428572,30.492066997935375,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2009-09-10,116.334820695697,86.0751767191143,239.0,40.56983860562347,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2009-09-26,116.72891641957224,87.00632090912157,178.33333333333334,41.21091558928862,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2010-06-25,105.34241194475868,62.67217670542795,73.97500000000001,25.542830265595335,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2010-07-02,103.9151534725951,59.982202153511814,39.2,23.958777051507138,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2011-06-12,118.3528118911555,90.91357349832802,461.8333333333333,43.93480659883695,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2011-08-06,111.20296541022888,74.54264786403127,91.45,32.89604382621492,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2011-08-15,106.24411640590628,64.41143624471941,66.32857142857142,26.58367001863363,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2011-08-22,117.46453102531588,88.7617113578449,63.65714285714286,42.42789679436693,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2013-04-30,123.19305401837876,102.83380705263347,299.0,52.526960096470575,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2013-06-24,109.60396411824313,71.16896657396684,212.0,30.747760027945088,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2013-07-10,128.02659568339774,116.62893563556338,328.0952380952381,63.14761419447102,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2013-08-20,127.028571178884,113.7791740072948,805.0,60.913970754791116,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2013-08-27,113.78890299470612,80.21746731605124,387.0,36.60958966476746,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2013-09-05,124.55325227333026,106.2843755997095,194.4,55.09246688076517,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2013-09-28,125.4470286367425,109.0154820446043,247.0,57.19875878297142,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2014-04-17,111.92938981726536,76.10887170112403,48.8,33.908554265399914,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2014-05-03,98.26632439371993,50.07619166800907,33.6,18.40753233588194,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2014-06-27,121.35913197995464,98.34139293435324,48.8,49.2484057537104,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2014-07-29,124.131994728759,105.20289410593301,163.0,54.28379655448196,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2014-08-30,121.4851173329425,98.6436281467643,63.9,49.46669581922837,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
