COMID,node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID_x,date,COMID_y,width_u_r
42037498,42241500050111,42241500051,755003602.283,46.83040949,130.3348616,75.2688,0.09183,1186.038597,18.939153,8388620,3,2,0.37255516744,707.0,1,1,0,-16768.72461,0.01822,193.15955945,SWOT_L2_HR_RiverSP_Node_007_310_AS_20231204T111025_20231204T111720_PGD0_01.zip,18,jiamusi,42037498,2023-12-04,42037498,0.015968412029680346
42037498,42241500050111,42241500051,758829827.734,46.82924297,130.3340531,74.87965,0.29426,1012.909524,9.487151,2052,1,2,0.99565702272,707.0,1,1,0,-49402.14062,0.28016,193.15955945,SWOT_L2_HR_RiverSP_Node_009_381_AS_20240117T180009_20240117T180635_PGD0_01.zip,18,jiamusi,42037498,2024-01-17,42037498,0.009366237334342609
42037498,42241500050111,42241500051,757971694.366,46.83010082,130.3338601,74.1857,0.14302,1072.721057,12.33627,4,1,2,0.98065675907,707.0,1,1,0,41169.49219,0.11115,193.15955945,SWOT_L2_HR_RiverSP_Node_009_103_AS_20240107T193825_20240107T194428_PGD0_01.zip,18,jiamusi,42037498,2024-01-07,42037498,0.011499979346448124
42037498,42241500050111,42241500051,765182512.674,46.8294644,130.3342261,75.20594,0.09367,1120.202321,6.970233,4,1,1,0.74826738425,707.0,1,1,0,41531.66406,0.02596,193.15955945,SWOT_L2_HR_RiverSP_Node_013_103_AS_20240331T063834_20240331T064446_PGD0_01.zip,18,jiamusi,42037498,2024-03-31,42037498,0.006222298302129657
42037498,42241500050111,42241500051,760632532.701,46.82993737,130.3347494,74.00939,0.14402,1040.514885,8.850633,4,1,2,0.95591970155,707.0,1,1,0,-49565.59766,0.11244,193.15955945,SWOT_L2_HR_RiverSP_Node_010_381_AS_20240207T144514_20240207T145140_PGD0_01.zip,18,jiamusi,42037498,2024-02-07,42037498,0.008506012866889453
42037498,42241500050111,42241500051,767622535.497,46.83212463,130.3358047,74.45863,0.09221,1107.239716,17.136354,0,0,0,0.14476908409,707.0,1,1,0,-16283.66309,0.02008,193.15955945,SWOT_L2_HR_RiverSP_Node_014_310_AS_20240428T122618_20240428T123300_PGD0_01.zip,18,jiamusi,42037498,2024-04-28,42037498,0.015476643180671457
42037498,42241500050111,42241500051,765819830.037,46.83198313,130.3357827,75.41818,0.09176,1134.862722,19.136863,0,0,1,0.0,707.0,1,1,0,-16456.60938,0.01787,193.15955945,SWOT_L2_HR_RiverSP_Node_013_310_AS_20240407T154113_20240407T154754_PGD0_01.zip,18,jiamusi,42037498,2024-04-07,42037498,0.016862711787972537
42037498,42241500050111,42241500051,766040645.846,46.83200387,130.3358117,75.50935,0.09182,1145.467772,11.087012,8,1,1,0.0,707.0,1,1,0,-48967.11719,0.01817,193.15955945,SWOT_L2_HR_RiverSP_Node_013_381_AS_20240410T050022_20240410T050653_PGD0_01.zip,18,jiamusi,42037498,2024-04-10,42037498,0.009679025696761375
42037498,42241500050111,42241500051,768787922.66,46.83255977,130.3360984,73.34273,0.09275,1052.238751,8.816915,4,1,0,0.21877786874,707.0,1,1,0,41215.10938,0.02244,193.15955945,SWOT_L2_HR_RiverSP_Node_015_103_AS_20240512T000854_20240512T001456_PGD0_01.zip,18,jiamusi,42037498,2024-05-12,42037498,0.008379196253341556
42037498,42241500050111,42241500051,769646054.87,46.83261959,130.3361279,74.13811,0.09275,1044.292858,9.306501,8,1,0,0.09509589493,707.0,1,1,0,-49709.53906,0.02243,193.15955945,SWOT_L2_HR_RiverSP_Node_015_381_AS_20240521T223036_20240521T223702_PGD0_01.zip,18,jiamusi,42037498,2024-05-21,42037498,0.00891177309957242
