stationid,COMID,distance,lon,lat
Brazil_51240000,63028989,0.00035355339058878207,-40.9581,-12.9861
Brazil_51280000,63028201,0.0007778174593033894,-40.2136,-12.7622
Brazil_51330000,63028187,0.00025927248643865006,-39.8481,-12.5156
Brazil_51350000,63028182,0.0010666666666665492,-39.5222,-12.5856
Brazil_51460000,63027380,0.00026666666666841365,-39.0461,-12.2331
Brazil_52404000,63030537,0.00040069384267186174,-40.9825,-14.0314
Brazil_52405000,63030529,0.0011642832797739721,-40.8964,-13.877800000000002
Brazil_52570000,63030508,0.00030184617127165537,-40.0808,-13.8647
Brazil_52680000,63031319,0.0007778174593034147,-39.7036,-14.1503
Brazil_52695000,63031316,0.001425170555096075,-39.5461,-14.2086
Brazil_53170000,63032100,0.001100000000000989,-39.3311,-14.8444
Brazil_53180000,63032095,0.00018856180831784897,-39.2961,-14.815
Brazil_53880000,63033633,0.0013906433363343135,-39.5167,-15.6039
Brazil_53950000,63033627,0.0005666666666677145,-39.3044,-15.5686
Brazil_54002990,63039115,0.00018856180831513587,-43.5258,-18.1106
Brazil_54010005,63037238,0.0005333333333332746,-43.2078,-17.3128
Brazil_54110002,63035620,0.001100000000000989,-42.9183,-16.5914
Brazil_54150000,63036391,0.0006128258770262688,-42.4856,-16.6789
Brazil_54195000,63035534,0.000212132034357982,-42.3097,-16.6175
Brazil_54390000,63036427,0.0005656854249579682,-42.34830000000001,-16.86
Brazil_54500000,63036421,0.0008013876853462357,-42.0789,-16.8508
Brazil_54530000,63036382,0.0016333333333342639,-42.0028,-16.7608
Brazil_54580000,63035511,0.0008000000000016884,-41.5031,-16.5692
Brazil_54710000,63035494,0.0008333333333325754,-41.0136,-16.4275
Brazil_54780000,63034543,0.0016333333333342639,-40.3061,-16.1358
Brazil_54950000,63034522,0.0016333333333324873,-39.5236,-15.9483
Brazil_55490000,63038162,0.00021213203436004196,-39.645,-17.5128
Brazil_55560000,63038158,0.002014668431501061,-41.2486,-17.4864
Brazil_55630000,63038147,0.0005892556509919215,-40.761700000000005,-17.7042
Brazil_55699998,63038137,0.0006363961030714338,-40.3822,-17.8419
Brazil_55740000,63038999,0.0005666666666677145,-39.8933,-18.0989
Brazil_55800005,63039074,0.00023333333333397374,-40.8831,-18.1231
Brazil_55850000,63039867,0.0003771236166352959,-40.3361,-18.5639
