node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID,date
43428700020014,43428700024,744879079.926,32.43459758,115.4154924,21.18797,0.1041,238.611985,7.248272,8388608,3,0,0.0,155.5,1,1,0,-57376.88672,0.05232,160.81637904,SWOT_L2_HR_RiverSP_Node_001_534_AS_20230809T064606_20230809T065400_PGD0_01.zip,7,huaibin,43044183,2023-08-09
43428700020024,43428700024,744879079.925,32.43427206,115.4134751,21.61642,0.11116,128.594412,4.883184,8388609,3,0,0.00808350189,80.0,1,1,0,-57173.69531,0.06525,215.83754013,SWOT_L2_HR_RiverSP_Node_001_534_AS_20230809T064606_20230809T065400_PGD0_01.zip,7,huaibin,43044183,2023-08-09
43120100180183,43120100183,751964605.976,39.7302809,118.7594475,20.62203,0.09162,333.111044,21.036441,16392,1,0,0.02389471384,137.0,1,1,0,7685.81543,0.01718,212.99621047,SWOT_L2_HR_RiverSP_Node_005_493_AS_20231030T065814_20231030T070828_PGD0_01.zip,15,luanxian,43004870,2023-10-30
43120100180193,43120100183,751964606.006,39.73187001,118.7595069,20.65109,0.0941,340.829309,26.042937,16392,1,0,0.0,107.0,1,1,0,7651.92969,0.02749,183.52129303,SWOT_L2_HR_RiverSP_Node_005_493_AS_20231030T065814_20231030T070828_PGD0_01.zip,15,luanxian,43004870,2023-10-30
43120100180203,43120100183,751964606.037,39.73378558,118.7595865,20.61781,0.09332,245.424696,19.346552,16384,1,0,0.0,78.0,1,1,0,7619.45996,0.02466,214.7132664,SWOT_L2_HR_RiverSP_Node_005_493_AS_20231030T065814_20231030T070828_PGD0_01.zip,15,luanxian,43004870,2023-10-30
43210800190074,43210800194,748570883.96,34.55815142,112.4741268,158.86032,1.28912,-999999999999.0,-999999999999.0,12586500,3,0,0.0,327.0,2,1,0,-59481.79688,1.28597,214.72502404,SWOT_L2_HR_RiverSP_Node_003_562_AS_20230921T001707_20230921T002502_PGD0_01.zip,1,longmenzhen,43027970,2023-09-21
43210800200011,43210800201,748570883.988,34.55670048,112.4720058,156.34722,0.41776,8.830543,1.579038,8390662,3,0,0.0,284.0,1,1,0,-59343.49219,0.40795,154.71454696,SWOT_L2_HR_RiverSP_Node_003_562_AS_20230921T001707_20230921T002502_PGD0_01.zip,1,longmenzhen,43027970,2023-09-21
42481500090731,42481500091,749854857.785,42.32904101,123.8358549,54.16041,0.29716,11.090251,0.916512,0,0,0,0.43276182997,75.0,1,1,0,42554.85156,0.2832,189.30001422,SWOT_L2_HR_RiverSP_Node_004_394_AS_20231005T205702_20231005T210321_PGD0_01.zip,17,tieling,42059330,2023-10-05
42481500090741,42481500091,749854857.771,42.33021708,123.8376463,52.64549,0.11158,62.348715,3.253629,0,0,0,0.09649150589,144.0,1,1,0,42395.8125,0.06596,201.89216108,SWOT_L2_HR_RiverSP_Node_004_394_AS_20231005T205702_20231005T210321_PGD0_01.zip,17,tieling,42059330,2023-10-05
42481500090751,42481500091,749854857.753,42.33141266,123.8388022,52.60204,0.09829,115.519758,4.720712,8388608,3,0,0.04845522886,165.0,1,1,0,42254.89844,0.03951,218.73534274,SWOT_L2_HR_RiverSP_Node_004_394_AS_20231005T205702_20231005T210321_PGD0_01.zip,17,tieling,42059330,2023-10-05
42241500050101,42241500051,749816301.309,46.83262966,130.3388982,75.00521,0.0921,996.568118,9.639733,8,1,0,0.0,914.0,2,1,0,-49871.02344,0.01953,221.08645893,SWOT_L2_HR_RiverSP_Node_004_381_AS_20231005T101442_20231005T102109_PGD0_01.zip,18,jiamusi,42037498,2023-10-05
42241500050111,42241500051,749816301.295,46.83212136,130.3357972,75.04492,0.09192,1105.884598,11.321279,8,1,0,0.0,707.0,1,1,0,-50082.01953,0.0187,193.15955945,SWOT_L2_HR_RiverSP_Node_004_381_AS_20231005T101442_20231005T102109_PGD0_01.zip,18,jiamusi,42037498,2023-10-05
43120100180183,43120100183,750161900.609,39.73014491,118.7593668,20.27648,0.09628,282.56908,22.765022,278529,2,0,0.0,137.0,1,1,0,6812.47559,0.0342,212.99621047,SWOT_L2_HR_RiverSP_Node_004_493_AS_20231009T101309_20231009T102323_PGD0_01.zip,15,luanxian,43004870,2023-10-09
43120100180193,43120100183,750161900.639,39.73207356,118.7594711,20.3588,0.09347,239.359426,28.603771,16392,1,0,0.0,107.0,1,1,0,6779.66992,0.02522,183.52129303,SWOT_L2_HR_RiverSP_Node_004_493_AS_20231009T101309_20231009T102323_PGD0_01.zip,15,luanxian,43004870,2023-10-09
43120100180203,43120100183,750161900.669,39.7334631,118.759265,20.35971,0.09397,214.834407,21.306156,802817,2,0,0.0,78.0,1,1,0,6720.91895,0.02702,214.7132664,SWOT_L2_HR_RiverSP_Node_004_493_AS_20231009T101309_20231009T102323_PGD0_01.zip,15,luanxian,43004870,2023-10-09
42242100060571,42242100061,750540070.412,45.98971892,129.5891764,113.88517,0.0942,271.768094,9.669395,10,1,0,0.0,213.0,1,1,0,-28472.02148,0.0278,178.42839861,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,12,changjiangtun,42043227,2023-10-13
