ID,glow_lat,glow_lon,stationid,gage_lat,gage_lon,distance,COMID,COMID-mean
R75000464XS0236419,36.57793477904321,-106.72376810873607,USGS_08285500,36.580015,-106.723926,12653150.351825986,75000464,590.6859787823738
R75000652XS0236851,36.3155178384927,-106.59333333299708,USGS_08286500,36.31835,-106.597814,12627172.501115791,75000652,285.67666034930556
R75000652XS0236852,36.316964226240444,-106.59446422291735,USGS_08286500,36.31835,-106.597814,12627172.501115791,75000652,285.67666034930556
R75001317XS0237154,35.03407410036504,-104.68425923390826,USGS_08382830,35.031168,-104.686378,12367743.112162726,75001317,194.68061566092135
R75001317XS0237155,35.034166667383545,-104.68215021892432,USGS_08382830,35.031168,-104.686378,12367743.112162726,75001317,194.68061566092135
R75001317XS0237156,35.035000000725326,-104.68046654603097,USGS_08382830,35.031168,-104.686378,12367743.112162726,75001317,194.68061566092135
R75003722XS0237429,33.04129292670912,-96.9624999998968,USGS_08053000,33.045677000000005,-96.961117,11468963.902185505,75003722,88.54106109105227
R75003722XS0237430,33.04396068506701,-96.96083333325574,USGS_08053000,33.045677000000005,-96.961117,11468963.902185505,75003722,88.54106109105227
R77001440XS0263664,42.015659130185355,-110.0466666663731,USGS_09211200,42.02106,-110.049876,13282748.217150507,77001440,1120.9046652470522
R77001440XS0263665,42.01721087224394,-110.04583333293107,USGS_09211200,42.02106,-110.049876,13282748.217150507,77001440,1120.9046652470522
R77005356XS0265515,40.9067992294928,-109.41820077200941,USGS_09234500,40.908293,-109.422914,13155346.244889881,77005356,63.48433113379438
R77005356XS0265516,40.90706381186575,-109.41960285760224,USGS_09234500,40.908293,-109.422914,13155346.244889881,77005356,63.48433113379438
R77010804XS0270365,39.524758437768455,-121.54524156420572,USGS_11407000,39.521553,-121.547748,14346378.76153684,77010804,223.45850552241953
R77010804XS0270366,39.527496846023524,-121.54499999998897,USGS_11407000,39.521553,-121.547748,14346378.76153684,77010804,223.45850552241953
R77022897XS0276503,36.01723468344311,-114.73526531843855,GRDC_4152103,36.0146,-114.7396,13469314.866180986,77022897,1296.9459212268075
R77022897XS0276504,36.018333334121415,-114.7337917797937,GRDC_4152103,36.0146,-114.7396,13469314.866180986,77022897,1296.9459212268075
R78011257XS0296467,50.25500000018835,-116.94494775342841,Canada_08NH126,50.25138854980469,-116.94750213623048,14531497.342903713,78011257,1556.9016598927815
R78011257XS0296468,50.25528735086859,-116.94387931917362,Canada_08NH126,50.25138854980469,-116.94750213623048,14531497.342903713,78011257,1556.9016598927815
R78011257XS0296469,50.25583333407376,-116.94303142440057,Canada_08NH126,50.25138854980469,-116.94750213623048,14531497.342903713,78011257,1556.9016598927815
R78011257XS0296470,50.25583333351831,-116.94171791109918,Canada_08NH126,50.25138854980469,-116.94750213623048,14531497.342903713,78011257,1556.9016598927815
R78012485XS0298604,49.46431887198353,-117.46681886877639,Canada_08NJ158,49.4669418334961,-117.46499633789062,14523988.564004371,78012485,139.15374351090742
R78012485XS0298605,49.465770243778316,-117.46827024227494,Canada_08NJ158,49.4669418334961,-117.46499633789062,14523988.564004371,78012485,139.15374351090742
R78014339XS0302895,48.35495914910166,-114.03666666656663,USGS_12362500,48.356631,-114.037618,14098488.02461446,78014339,393.4593488864584
R78014339XS0302896,48.353232286755,-114.03656561791867,USGS_12362500,48.356631,-114.037618,14098488.02461446,78014339,393.4593488864584
R78014863XS0303410,47.96292898005957,-118.98166666601723,GRDC_4115206,47.9646,-118.9812,14568639.121995006,78014863,176.2813921735244
R78015483XS0305966,47.83500000080843,-117.83702984468724,USGS_12433000,47.836553,-117.841348,14444121.44193674,78015483,522.9602425001743
R78015500XS0306151,47.70325020560715,-116.97424979561691,USGS_12419000,47.702957,-116.977975,14348078.791402014,78015500,120.43907321071356
R78015500XS0306152,47.70484313451759,-116.97265686756526,USGS_12419000,47.702957,-116.977975,14348078.791402014,78015500,120.43907321071356
R78016148XS0307430,47.67898938724393,-114.2431560505393,USGS_12372000,47.680216,-114.246788,14070670.465717332,78016148,107.63466005545109
R78016148XS0307431,47.67833333338725,-114.24084754507423,USGS_12372000,47.680216,-114.246788,14070670.465717332,78016148,107.63466005545109
R78016164XS0307609,47.359167605478504,-116.68833427212215,USGS_12415140,47.360278,-116.690556,14295180.696998872,78016164,224.7268818299907
R78016164XS0307610,47.35759135655489,-116.68759135455484,USGS_12415140,47.360278,-116.690556,14295180.696998872,78016164,224.7268818299907
R78016164XS0307611,47.35798856318125,-116.68583333275167,USGS_12415140,47.360278,-116.690556,14295180.696998872,78016164,224.7268818299907
R78016164XS0307613,47.36134477631805,-116.68634477146033,USGS_12415140,47.360278,-116.690556,14295180.696998872,78016164,224.7268818299907
R78016164XS0307614,47.36300905336856,-116.68666666609666,USGS_12415140,47.360278,-116.690556,14295180.696998872,78016164,224.7268818299907
R78022527XS0311906,44.420841429481726,-111.39667476263898,USGS_13042500,44.41666699999999,-111.394722,13565682.746710673,78022527,448.1652744253025
R78022527XS0311907,44.4217817493265,-111.3984484138143,USGS_13042500,44.41666699999999,-111.394722,13565682.746710673,78022527,448.1652744253025
R78024007XS0312948,43.65333333352748,-117.25161493115128,USGS_13183000,43.654444,-117.25583299999998,14118137.766572328,78024007,526.3118537761422
R78024007XS0312949,43.65315148342255,-117.24898481346904,USGS_13183000,43.654444,-117.25583299999998,14118137.766572328,78024007,526.3118537761422
R78024058XS0313001,43.858058061378316,-110.57694194135819,USGS_13011000,43.858333,-110.585833,13447192.172263922,78024058,76.82227395653699
R78024058XS0313002,43.85750000056153,-110.57897674442641,USGS_13011000,43.858333,-110.585833,13447192.172263922,78024058,76.82227395653699
R78024220XS0313240,43.943333333620785,-122.83325787683823,USGS_14150000,43.945681,-122.837297,14710696.637317277,78024220,857.3565089204882
R78024220XS0313241,43.943333333732696,-122.83010983835649,USGS_14150000,43.945681,-122.837297,14710696.637317277,78024220,857.3565089204882
R78024232XS0313417,43.79850463556296,-122.55999999951617,USGS_14148000,43.801235,-122.56088800000002,14674324.684093576,78024232,309.0400351887842
R78024232XS0313418,43.79674980177686,-122.55924979993647,USGS_14148000,43.801235,-122.56088800000002,14674324.684093576,78024232,309.0400351887842
R78024992XS0314504,43.34861110887,-111.2161111048979,USGS_13032500,43.350833,-111.218889,13480815.617787967,78024992,244.69371348751804
R78024992XS0314505,43.34768584540684,-111.21435250897636,USGS_13032500,43.350833,-111.218889,13480815.617787967,78024992,244.69371348751804
R78024992XS0314506,43.34725183895033,-111.21225183521283,USGS_13032500,43.350833,-111.218889,13480815.617787967,78024992,244.69371348751804
R78026462XS0316297,42.7706645262821,-112.87583333300097,USGS_13077000,42.7675,-112.879444,13617067.847084785,78026462,413.5159914360677
R78027124XS0317308,42.673333334063656,-113.49388222525978,USGS_13081500,42.672778,-113.500278,13674782.051611736,78027124,381.5332233978261
R71041174XS0317785,49.556666667458664,-113.81873905434216,Canada_05AA024,49.55781173706055,-113.82272338867188,14166457.06058067,71041174,53.312305125324734
R71041174XS0317786,49.557099287628496,-113.82040071606504,Canada_05AA024,49.55781173706055,-113.82272338867188,14166457.06058067,71041174,53.312305125324734
R73002016XS0318873,43.35247268756265,-74.2649726871812,USGS_01321000,43.352847,-74.270415,9839582.509823037,73002016,31.37980248706364
R73002016XS0318874,43.352969426539765,-74.26713609024642,USGS_01321000,43.352847,-74.270415,9839582.509823037,73002016,31.37980248706364
R73009665XS0319084,35.64565410914587,-79.06500000024748,USGS_02098198,35.649444,-79.065556,9763790.650651447,73009665,30.379992304058632
R73009665XS0319085,35.64742238594756,-79.06500000012383,USGS_02098198,35.649444,-79.065556,9763790.650651447,73009665,30.379992304058632
R73009665XS0319086,35.648809758204955,-79.06535691197023,USGS_02098198,35.649444,-79.065556,9763790.650651447,73009665,30.379992304058632
R73012008XS0319347,34.38666666669368,-82.22165885095323,USGS_02163500,34.391785,-82.223451,10011347.072141506,73012008,58.021746056380024
R73012008XS0319348,34.38896708359774,-82.22166666687342,USGS_02163500,34.391785,-82.223451,10011347.072141506,73012008,58.021746056380024
R73020341XS0319584,30.103251531808674,-85.17924846918484,USGS_02359051,30.10048,-85.1813,10105353.051398944,73020341,44.750291708451826
R73020341XS0319585,30.103196480195752,-85.17680352134461,USGS_02359051,30.10048,-85.1813,10105353.051398944,73020341,44.750291708451826
R74056112XS0321081,36.2126820671446,-84.07601539870936,USGS_03533000,36.215634,-84.082142,10301561.241629843,74056112,66.80595140175824
R74056112XS0321082,36.213547239812904,-84.0777139045032,USGS_03533000,36.215634,-84.082142,10301561.241629843,74056112,66.80595140175824
R74061488XS0321429,35.335000000639305,-83.52276879955069,USGS_03503000,35.33638900000001,-83.526944,10195471.322883451,74061488,91.93584859386971
R74061488XS0321430,35.333697029249265,-83.520363693469,USGS_03503000,35.33638900000001,-83.526944,10195471.322883451,74061488,91.93584859386971
R75000647XS0321804,36.235000000545725,-106.41186502414915,USGS_08287000,36.236685,-106.416976,12604554.307588913,75000647,35.149949390354244
R75000647XS0321805,36.23500000035896,-106.4140512485712,USGS_08287000,36.236685,-106.416976,12604554.307588913,75000647,35.149949390354244
R75000647XS0321806,36.235778965870594,-106.41577896499182,USGS_08287000,36.236685,-106.416976,12604554.307588913,75000647,35.149949390354244
R75005087XS0322084,32.88463923648354,-107.29286076556753,GRDC_4151801,32.8854,-107.2937,12550918.919433821,75005087,46.386345763766414
R75005087XS0322085,32.8862927067551,-107.2924999996271,GRDC_4151801,32.8854,-107.2937,12550918.919433821,75005087,46.386345763766414
R77001443XS0322553,42.19666666691644,-110.1590950606131,USGS_09209400,42.192722,-110.163214,13304686.661704848,77001443,47.915928154524956
R77005428XS0322581,40.93595867756038,-122.41012534172448,USGS_11342000,40.939594,-122.41723500000002,14506215.105682515,77005428,68.1297069920559
R77005428XS0322582,40.937291499564466,-122.41145816255707,USGS_11342000,40.939594,-122.41723500000002,14506215.105682515,77005428,68.1297069920559
R77005428XS0322583,40.93833333418644,-122.41298158626091,USGS_11342000,40.939594,-122.41723500000002,14506215.105682515,77005428,68.1297069920559
R12008628XS0058353,-13.601310119713855,24.21464345150078,GRDC_1591231,-13.6021,24.2188,3093431.910389972,12008628,88.17099701216988
R12008628XS0058354,-13.600068404517037,24.213401737374454,GRDC_1591231,-13.6021,24.2188,3093431.910389972,12008628,88.17099701216988
R12008628XS0058355,-13.598691088382198,24.212499999761047,GRDC_1591231,-13.6021,24.2188,3093431.910389972,12008628,88.17099701216988
R12010716XS0060623,-14.372303621132085,23.233970286656877,GRDC_1591002,-14.377100000000002,23.2354,3044235.804529706,12010716,429.8620686287273
R12010716XS0060624,-14.371021337838325,23.232688003397516,GRDC_1591002,-14.377100000000002,23.2354,3044235.804529706,12010716,429.8620686287273
R12010716XS0060625,-14.369305135546364,23.23249999987938,GRDC_1591002,-14.377100000000002,23.2354,3044235.804529706,12010716,429.8620686287273
R12017971XS0073907,-15.82168974211691,28.20085640856981,GRDC_1591401,-15.8229,28.2021,3604636.079138138,12017971,270.1237061660709
R12017971XS0073908,-15.821002245814265,28.199335577864172,GRDC_1591401,-15.8229,28.2021,3604636.079138138,12017971,270.1237061660709
R12017971XS0073909,-15.820314745816024,28.197814743949543,GRDC_1591401,-15.8229,28.2021,3604636.079138138,12017971,270.1237061660709
R12025702XS0095190,-17.48416666688789,24.286546325341682,GRDC_1291100,-17.4854,24.2896,3341394.89181808,12025702,408.04588966428213
R12025702XS0095191,-17.48416666709248,24.2838419091121,GRDC_1291100,-17.4854,24.2896,3341394.89181808,12025702,408.04588966428213
R12028470XS0106002,-17.904710690688802,19.74249999988678,GRDC_1257100,-17.9062,19.7438,2980040.367667611,12028470,97.06602158394186
R12028470XS0106003,-17.90302652342468,19.74219318853476,GRDC_1257100,-17.9062,19.7438,2980040.367667611,12028470,97.06602158394186
R12028470XS0106004,-17.901724806143026,19.74089147237549,GRDC_1257100,-17.9062,19.7438,2980040.367667611,12028470,97.06602158394186
R12082634XS0186581,-28.45775163347847,21.25141503487865,GRDC_1159300,-28.4604,21.2479,4049281.4986407915,12082634,150.9125046113316
R12082634XS0186582,-28.456666667308895,21.25289497484985,GRDC_1159300,-28.4604,21.2479,4049281.4986407915,12082634,150.9125046113316
R12082657XS0187197,-28.49678624528379,24.604880422301818,GRDC_1159500,-28.4979,24.6063,4281885.59216345,12082657,98.15114787071835
R12082657XS0187198,-28.495447964562413,24.6062187039627,GRDC_1159500,-28.4979,24.6063,4281885.59216345,12082657,98.15114787071835
R12082657XS0187199,-28.494661424825317,24.607838576977883,GRDC_1159500,-28.4979,24.6063,4281885.59216345,12082657,98.15114787071835
R12084629XS0193689,-28.760931825688225,17.724265158004464,GRDC_1159100,-28.7604,17.7313,3866026.2006851723,12084629,141.1803959525447
R12084629XS0193690,-28.761666666943324,17.725935410230004,GRDC_1159100,-28.7604,17.7313,3866026.2006851723,12084629,141.1803959525447
R12084629XS0193691,-28.761347791382562,17.72781887734861,GRDC_1159100,-28.7604,17.7313,3866026.2006851723,12084629,141.1803959525447
R12086711XS0203054,-29.138556171143165,31.38605616862952,GRDC_1160880,-29.1396,31.3896,4855617.780257675,12086711,101.37708240037382
R12086711XS0203055,-29.138333333464708,31.383291579255193,GRDC_1160880,-29.1396,31.3896,4855617.780257675,12086711,101.37708240037382
R13010651XS0251929,4.726666666780572,22.81361328905202,GRDC_1749500,4.7229,22.8188,2592798.116774368,13010651,307.033417124928
R13010651XS0251930,4.726666666794106,22.815399985610277,GRDC_1749500,4.7229,22.8188,2592798.116774368,13010651,307.033417124928
R13010651XS0251931,4.726666666786462,22.817186674522322,GRDC_1749500,4.7229,22.8188,2592798.116774368,13010651,307.033417124928
R13013287XS0262217,4.355833333355529,18.58745802252787,GRDC_1749100,4.3604,18.5938,2124500.841636367,13013287,1027.739363700653
R13013287XS0262218,4.357500000113626,18.589523539917984,GRDC_1749100,4.3604,18.5938,2124500.841636367,13013287,1027.739363700653
R13019223XS0290180,3.18214999358001,16.113816659942227,GRDC_1748500,3.1854,16.1188,1827814.4762250164,13019223,209.19832676379522
R13019223XS0290181,3.183464573093309,16.114999999984448,GRDC_1748500,3.1854,16.1188,1827814.4762250164,13019223,209.19832676379522
R13019223XS0290182,3.185273635920742,16.114999999974156,GRDC_1748500,3.1854,16.1188,1827814.4762250164,13019223,209.19832676379522
