COMID,q50
81000616,0.08406551
81000617,0.12472476
81000618,0.07896246
81000619,0.029882496
81000620,0.029081745
81000621,0.055224016
81000622,0.050069317
81000623,0.11568263
81000624,0.07018403
81000625,0.06679766
81000626,0.036711615
81000627,0.01756845
81000628,0.032811157
81000629,0.01925353
81000630,0.010334903
81000631,0.049740117
81000632,0.02393462
81000633,0.029924918
81000634,0.0073798136
81000635,0.022986442
81000636,0.024798179
81000637,0.01463639
81000638,0.0051656137
81000639,0.025083285
81000640,0.0014451665
81000641,0.19166964
81000642,0.16427079
81000643,0.20336293
81000644,0.3392908
81000645,0.14150338
81000646,0.13475487
81000647,0.20467545
81000648,0.13662374
81000649,0.06043343
81000650,0.10157007
81000651,0.07116984
81000652,0.13836944
81000653,0.073063806
81000654,0.08096987
81000655,0.060575314
81000656,0.11759746
81000657,0.033042654
81000658,0.06307997
81000659,0.047460295
81000660,0.30639935
81000661,0.06124065
81000662,0.050103962
81000663,0.034791183
81000664,0.16614054
81000665,0.029647214
81000666,0.11435952
81000667,0.17133532
81000668,0.03894391
81000669,0.01798751
81000670,0.050945036
81000671,0.06624452
81000672,0.02270983
81000673,0.08067444
81000674,0.0808472
81000675,0.043127846
81000676,0.026084648
81000677,0.0226422
81000678,0.028997282
81000679,0.033391386
81000680,0.09325104
81000681,0.034471266
81000682,0.009996071
81000683,0.039000127
81000684,0.04141251
81000685,0.029299546
81000686,0.016777422
81000687,0.020579183
81000688,0.078090005
81000689,0.04386065
81000690,0.015285757
81000691,0.015452955
81000692,0.01371234
81000693,0.027144367
81000694,0.014571096
81000695,0.014347048
81000696,0.028582476
81000697,0.012810687
81000698,0.008383389
81000699,0.014488222
81000700,0.010876058
81000701,0.014618383
81000702,0.016689263
81000703,0.017683564
81000704,0.010515296
81000705,0.099382505
81000706,0.0074199196
81000707,0.004434473
81000708,0.08955412
81000709,0.009588974
81000710,0.04125114
81000711,0.006389077
81000712,0.0055504907
81000713,0.024113499
81000714,0.012262138
81000715,0.010770997
81000716,0.0033944238
81000717,0.0019492526
81000718,0.0037324969
81000719,0.010374804
81000720,0.002870706
81000721,0.007536861
81000722,0.0004464366
81000723,0.008956526
81000724,0.0059587634
81000725,0.0012547831
81000726,0.007564371
81000727,0.0021444368
81000728,0.009195307
81000729,0.0019579732
81000730,0.013648539
81000731,0.0058985474
81000732,0.021998283
81000733,0.011175557
81000734,0.0012692506
81000735,0.00064861326
81000736,0.0125088
81000737,0.019716866
81000738,0.004709566
81000739,0.012020068
81000740,0.03626487
81000741,0.01284663
81000742,0.0050243787
81000743,0.011481951
81000744,0.10733616
81000745,0.006025737
81000746,0.005257625
81000747,0.044742726
81000748,0.007230942
81000749,0.07668161
81000750,0.0031851956
81000751,0.0025742406
81000752,0.0064541604
81000753,0.009840367
81000754,0.013721176
81000755,0.037669513
81000756,0.006138499
81000757,0.023009911
81000758,0.003566682
81000759,0.00038939898
81000760,0.0006561775
81000761,0.007199713
81000762,0.010912288
81000763,0.0011218968
81000764,0.00230995
81000765,0.015161991
81000766,0.0020697734
81000767,0.009775157
81000768,0.0047231857
81000769,0.015851477
81000770,0.007545763
81000771,0.011616414
81000772,0.06825979
81000773,0.027439283
81000774,0.008078184
81000775,0.02220924
81000776,0.0040313764
81000777,0.010266588
81000778,0.010313483
81000779,0.0065667513
81000780,0.0059184832
81000781,0.0050230674
81000782,0.0042707073
81000783,0.036143757
81000784,0.0074297856
81000785,0.00518442
81000786,0.016995275
81000787,0.0056497566
81000788,0.016669264
81000789,0.04595916
81000790,3.6844165e-05
81000791,0.015206819
81000792,0.004232082
81000793,0.027689168
81000794,0.001754058
81000795,0.0031951934
81000796,0.0036147947
81000797,0.009956427
81000798,0.0075512123
81000799,0.0052075824
81000800,0.0015567512
81000801,0.0040522944
81000802,0.0017666017
81000803,0.004915208
81000804,0.012886535
81000805,0.014550623
81000806,0.002605078
81000807,0.012696003
81000808,0.007135494
81000809,0.022305783
81000810,0.028518155
81000811,0.0038469657
81000812,0.0053958907
81000813,0.0015996364
81000814,0.006425205
81000815,0.0041679256
81000816,0.0058584595
81000817,0.005448003
81000818,0.0069554234
81000819,0.0052043544
81000820,0.00265184
81000821,0.009145464
81000822,0.002684147
81000823,0.0037730841
81000824,0.0026618529
81000825,0.004857266
81000826,0.0026001073
81000827,0.011265163
81000828,0.0057040006
81000829,0.00887226
81000830,0.0068858215
81000831,0.002216872
81000832,0.013014559
81000833,0.004136543
81000834,0.0059027835
81000835,0.012111716
81000836,0.02701069
81000837,0.0064926445
81000838,0.006417723
81000839,0.0016606536
81000840,0.0088490825
81000841,0.003970089
81000842,0.009186114
81000843,0.0025420117
81000844,0.023322048
81000845,0.005723508
81000846,0.0062544257
81000847,0.0022993311
81000848,0.0045787315
81000849,0.0021554516
81000850,0.0046199216
81000851,0.004858083
81000852,0.01790324
81000853,0.0019345793
81000854,0.0021987401
81000855,0.029321456
81000856,0.0032111546
81000857,0.01010028
81000858,0.0043354565
81000859,0.0034337812
81000860,0.0034007165
81000861,0.004534444
81000862,0.0057131113
81000863,0.0076923394
81000864,0.009544985
81000865,0.0030362292
81000866,0.001886871
81000867,0.00094900606
81000868,0.002782012
81000869,0.0052697137
81000870,0.0032517822
81000871,0.0018971666
81000872,0.0032349639
81000873,0.02861144
81000874,0.011537156
81000875,0.0037793713
81000876,0.007537566
81000877,0.0072173006
81000878,0.0026137608
81000879,0.01276998
81000880,0.008201052
81000881,0.0043771025
81000882,0.01285984
81000883,0.0062189074
81000884,0.008720379
81000885,0.020981433
