stationid,coverage_95,coverage_50,kge,nse,nrmse,kge_median,nse_median,ci_width_95,ci_width_50,relative_ci_width_95,mean_qobs
Brazil_40850000,0.520618556701031,0.520618556701031,-0.33940031442656293,-0.06183299872893211,0.7509429222882182,-0.2273137328318504,-0.10543152717778925,61.93081845537337,61.93081845537337,0.761411664989168,81.33683958762887
Brazil_42210000,0.7992831541218638,0.7598566308243727,-0.0068458336270207365,-0.33024252375910246,0.5708563864605032,-0.007073886247831895,-0.3525173404157398,753.1834405119779,670.4013412537545,0.8706780354537856,865.053911827957
Brazil_42930000,0.03954802259887006,0.03954802259887006,-0.5884136740909944,-0.13712956931345643,0.8668938792643115,-0.5788054988702305,-0.13754248168091676,8.159591343742619,8.08049166162163,0.029219714255230657,279.24952559322037
Brazil_42980000,0.9279279279279279,0.7567567567567568,0.19431965670384976,0.19041592135915475,0.7671330164032092,0.1854176049650058,0.15962820324481075,536.6242286327495,289.60525149459795,1.8569971593764902,288.97417851351355
Brazil_43200000,0.8333333333333334,0.6287878787878788,0.11707462408733038,0.03728091414839063,0.5200313035381496,0.09503532552096305,0.0014807995370211824,1190.6818658630887,673.3100517783901,1.0467492759576722,1137.5043606060608
Brazil_44200000,0.525,0.3,0.23817976271775687,0.12053842142957494,0.6566310231720868,0.24358531512580173,0.1263348211255868,775.4023860911176,411.7821424106481,0.5987539812934658,1295.0266892857144
Brazil_45298000,0.777262180974478,0.5545243619489559,0.2755669495402313,-0.1443538619212572,0.492936823593443,0.2559784230003007,-0.18667839922650442,1201.555399921764,648.8546346540272,0.961890905592999,1249.159746635731
Brazil_45480000,0.2853982300884956,0.16592920353982302,0.2489470118225222,0.2865947611045724,0.40192781967756963,0.2475948894212655,0.2844697841629621,208.00518982915037,110.44545233829082,0.17558257004669028,1184.6573938053098
Brazil_46998000,0.0,0.0,-0.19413455446000727,-5.731256445483143,0.8367660263476854,-0.19509673963568308,-5.738167205567812,463.45231795960666,238.29972806686143,0.2955808241619559,1567.9377012145749
Brazil_48020000,0.8214285714285714,0.5357142857142857,0.36618599812381425,0.1755073204615376,0.22246217544533722,0.3428625860813038,0.13436932157641523,968.558806705714,500.33574374915787,0.5492737577208525,1763.3444035714288
Brazil_49330000,0.4146341463414634,0.2926829268292683,0.29291261973966465,-0.2698119474462022,0.3482064358954434,0.30921521159359,-0.2643733812316469,585.2429497559032,308.83340144235365,0.3304128808900348,1771.247380487805
Brazil_49370000,0.8775510204081632,0.5306122448979592,0.4075914352710688,-0.37116091269094253,0.3438501781755068,0.36750467611348425,-0.5008417858922498,1896.7586722435321,1013.0220508921353,1.0998024999062543,1724.6357163265307
Brazil_49705000,0.05263157894736842,0.0,-0.08816256574515102,-12.930626590059475,0.9299454217688644,-0.09822515478108307,-13.281737414263876,1780.2058194268604,951.5360620361506,0.9539945050321313,1866.0545842105264
Brazil_51280000,0.5,0.3888888888888889,-0.7125591729470675,-0.30464673682511334,1.2863076540485319,-0.6019079609460096,-0.3159227746950086,29.704063835154646,20.34665731481808,1.2900027897084776,23.02635627777778
Brazil_52695000,0.09090909090909091,0.0,-1.6289270713513395,-14.32128040483001,2.6302096645234037,-1.5969934499821892,-13.8935700015732,118.5683549633606,64.80960665040791,3.8039143135376476,31.170090909090906
Brazil_54150000,0.9552238805970149,0.835820895522388,0.11434681383559442,-0.01565119506536594,0.8126518428973949,0.03996156841817944,0.03845778679777112,168.44132598801284,105.86886766176443,2.445541689130717,68.87689820895523
Brazil_54195000,0.9680851063829787,0.9148936170212766,0.2576347477157408,0.23534370858820708,0.8657863753301254,0.1955683513051707,0.07678943224110668,218.48674773630077,175.11332791544766,2.8134380751607058,77.658275
Brazil_54530000,0.9423076923076923,0.75,0.2600965206475123,0.22829964686336124,0.650439092134542,0.2880215490038064,0.25400468890033445,195.84452686079527,101.17016348258684,1.5987503528357612,122.49850423076924
Brazil_54710000,0.17391304347826086,0.08695652173913043,-0.18833046194067116,-0.8731537804444653,1.4109074814257068,-0.22617300342092328,-0.9832022130446159,408.43506024001385,204.21080441658754,2.8221076237109215,144.72696108695652
Brazil_54780000,0.8148148148148148,0.37037037037037035,-1.106051881092033,-9.882958728882627,1.4307389531874903,-1.1562412567701972,-10.102945750178513,450.96861772988166,223.5831797882698,3.43546648647175,131.2685248148148
Brazil_54950000,0.1935483870967742,0.0967741935483871,-0.15460082292822852,-0.6240502232454384,0.9979569596597927,-0.15363977590274236,-0.6545009944011551,215.43072811691292,114.91109496166747,0.7663885704121133,281.09856596774193
Brazil_55699998,0.9659090909090909,0.7840909090909091,0.30585404276252903,0.2277803623858149,0.6311394914795863,0.27450804367765425,0.18099593056074414,112.17257508407502,65.67919895765434,2.1490725268384536,52.19580711363637
Brazil_56425000,0.96875,0.953125,0.1256429307922362,-0.42714377898225697,0.45810646796740734,0.18098881674317224,-0.45740404789914546,188.12486066779758,152.9068491206529,1.678305844722421,112.0921203125
Brazil_56539000,0.84375,0.84375,-0.1426186249191026,-0.5301531052679669,0.5333100495104094,-0.02803300214810811,-0.5093964262659707,148.40228070499964,144.63282375841445,0.9854924804715393,150.5869234375
Brazil_56825000,0.8970588235294118,0.8823529411764706,0.031155025894043953,-0.115274290999128,0.6485347940364564,0.05403766325610615,-0.1307640199393194,145.92876413888496,127.28396872289146,1.3891537233598195,105.04867941176471
Brazil_56850000,0.7611940298507462,0.5074626865671642,0.09324023951149907,-0.15488849402412974,0.5261286196804682,0.09922731486142311,-0.15626476134930312,289.56771482428275,154.43134926695737,0.7259872155928954,398.8606253731343
Brazil_56948005,0.8518518518518519,0.5370370370370371,-0.004035565451899759,-0.2959887218734598,0.5527067918969868,-0.058106460970042795,-0.3948859840801302,427.67807069509826,241.33521975746424,1.03460303274477,413.3740740740741
Brazil_56990000,0.7731958762886598,0.7319587628865979,-0.10964242713222783,-0.1494106263439987,0.8347169996789283,-0.11908733343726308,-0.15419816981377132,85.68812386180785,70.7022659514872,1.0729593164912032,79.86148453608247
Brazil_56992400,0.9305555555555556,0.7083333333333334,0.3531073386142719,0.2159071184857606,0.5404424483624634,0.29104211709893846,0.07822597654633634,778.4237524356637,434.84910817663024,1.5864439385821938,490.6720833333333
Brazil_57460000,0.9883720930232558,0.9418604651162791,0.4357466377637649,0.19019458662446131,0.6071628652024659,0.3936504227825861,0.08447094988861259,122.6835327243778,82.8637483037407,3.9446075479211755,31.101581395348834
Brazil_57555000,0.9863013698630136,0.9726027397260274,0.4559243106294647,0.24465929354201388,0.4811714595126746,0.4914884868182158,-0.017308448686336853,125.08679225641244,118.76301053545066,2.5695451128379982,48.68052
Brazil_57580000,0.6524390243902439,0.6341463414634146,0.0013074036445391846,0.09928551659200402,0.7834044430637402,-0.011538782919866097,0.055734564657138996,78.97804556366269,74.86272879832121,1.2891188884818345,61.26513719512195
Brazil_58096000,0.6205533596837944,0.5335968379446641,0.012507138302085608,-0.4218507656062096,0.531391227068363,0.011048653316685142,-0.6125972790923631,160.10717544082283,105.54105238248847,1.9657138297882812,81.44989011857707
