node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,geometry,index_right,stationid,COMID
41301300490131,41301300491,787240796.368,38.87851694,139.9044212,2.40251,0.10943,234.255629,6.495406,0,0,0,0.0,149.0,2,2,0,-59500.02344,0.06224,182.97064587,POINT (139.9044212 38.87851694),830,GRDC_2589701,41003777
41301300490141,41301300491,787240796.369,38.87881892,139.9065819,2.59112,0.11508,175.383601,5.373597,1,1,0,0.0,184.0,2,1,0,-59319.39062,0.07172,212.37653884,POINT (139.9065819 38.87881892),830,GRDC_2589701,41003777
41301300520021,41301300521,787240787.582,38.76364028,140.0594143,21.53582,0.10638,158.659112,5.753271,0,0,0,0.0,169.0,1,1,0,-43620.88281,0.05671,200.10907782,POINT (140.0594143 38.76364028),829,GRDC_2589700,41003785
41301300520041,41301300521,787240787.577,38.76094292,140.0624779,22.05748,0.09872,172.240191,6.189382,0,0,0,0.0,169.0,1,1,0,-43312.44531,0.04057,208.12439728,POINT (140.0624779 38.76094292),829,GRDC_2589700,41003785
41301300840291,41301300841,787240806.812,39.60923376,140.1577036,2.74899,0.10247,203.838343,4.314747,1,1,0,0.03140293673,203.0,1,1,0,-55714.54688,0.049,216.76806498,POINT (140.1577036 39.60923376),832,GRDC_2589750,41003536
41301300840301,41301300841,787240806.808,39.60746022,140.1579846,2.82394,0.10286,233.340593,5.000143,0,0,0,0.05288145002,194.0,1,1,0,-55652.02344,0.0498,187.52708633,POINT (140.1579846 39.60746022),832,GRDC_2589750,41003536
41301300860801,41301300861,787240806.622,39.48728632,140.4059344,14.93607,0.09913,156.670945,6.956686,0,0,0,0.01177757899,151.0,1,1,0,-31936.51172,0.04155,218.12122015,POINT (140.4059344 39.48728632),833,GRDC_2589751,41003541
41301300860811,41301300861,787240806.622,39.48693089,140.408148,15.02099,0.1045,160.706662,6.357132,1,1,0,0.03966887719,131.0,1,1,0,-31750.46289,0.0531,190.79593944,POINT (140.408148 39.48693089),833,GRDC_2589751,41003541
41301400080411,41301400081,787240797.086,38.95008839,141.1749959,10.39843,0.10583,151.862428,6.361238,0,0,0,0.0,151.5,1,1,0,46218.21875,0.05567,186.9984475,POINT (141.1749959 38.95008839),801,GRDC_2588702,41003778
41301400100161,41301400101,787240797.603,39.16718973,141.1596734,32.56529,0.09863,134.926526,6.572368,0,0,0,0.0,152.5,1,1,0,39435.8125,0.04034,193.10691325,POINT (141.1596734 39.16718973),802,GRDC_2588703,41003790
41301400100171,41301400101,787240797.604,39.16768494,141.1575579,32.61917,0.09893,138.866194,6.790282,1,1,0,0.0,139.5,1,1,0,39256.25391,0.04107,193.10691322,POINT (141.1575579 39.16768494),802,GRDC_2588703,41003790
