COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,stationid,node_data_num,width_u_r
78003025,341,78340700050931,55.71520252,-127.6879184,763528120.779,314.58265,0.13515,168.518874,5.474742,GRDC_4206920,67,0.032487411469412024
78003025,190,78340700050931,55.71499809,-127.6873151,763905825.536,314.96441,0.19932,37.514643,2.056736,GRDC_4206920,67,0.054824885312116656
78003025,511,78340700050931,55.71510305,-127.6878584,764472689.266,314.80692,0.10846,169.324027,5.933792,GRDC_4206920,67,0.035044004711747144
78003025,36,78340700050931,55.71510048,-127.6876807,764763962.529,314.86383,0.10262,266.088412,6.711696,GRDC_4206920,67,0.025223556146443536
78003025,426,78340700050931,55.71516293,-127.6877411,765330825.022,314.83738,0.11558,163.037675,4.848674,GRDC_4206920,67,0.02973959239789208
78003025,141,78340700050931,55.71516525,-127.687964,766275394.453,314.92773,0.10334,188.39527,5.91174,GRDC_4206920,67,0.03137945023778994
78003025,550,78340700050931,55.71513684,-127.6878484,766566668.107,315.14581,0.10197,222.645097,7.499446,GRDC_4206920,67,0.0336834096104079
78003025,740,78340700050931,55.71516221,-127.6877737,767133531.284,315.47564,0.09898,169.047883,5.039325,GRDC_4206920,67,0.029810045003639585
78003025,418,78340700050931,55.71515307,-127.6879803,767511236.041,315.66116,0.09814,207.305427,4.258937,GRDC_4206920,67,0.020544261969562428
78003025,10,78340700050931,55.71516636,-127.687892,768078097.404,316.18135,0.10056,228.01606,5.018218,GRDC_4206920,67,0.022008177845016706
78003025,445,78340700050931,55.7151415,-127.6878619,774344348.606,316.85807,0.09908,144.457742,5.601412,GRDC_4206920,67,0.03877543648716315
78003025,126,78340700050931,55.71510529,-127.6879542,774722054.436,316.08835,0.10029,205.606461,4.890501,GRDC_4206920,67,0.023785735993967622
78003025,401,78340700050931,55.71519346,-127.6877975,775580190.054,316.68034,0.09639,199.651395,6.896066,GRDC_4206920,67,0.03454053501604634
78003025,380,78340700050931,55.71518019,-127.6879878,750909186.457,315.88355,0.10198,183.365559,4.718445,GRDC_4206920,67,0.025732449570859708
78003025,516,78340700050931,55.71513045,-127.6878478,750342323.109,316.30031,0.09704,195.758271,5.799455,GRDC_4206920,67,0.02962559369969098
78003025,387,78340700050931,55.71513577,-127.6879213,749484187.523,315.72682,0.10326,226.181086,4.634899,GRDC_4206920,67,0.020491983136025797
78003025,23,78340700050931,55.71514219,-127.6879368,750051049.272,316.07126,0.09951,238.059754,5.979781,GRDC_4206920,67,0.025118823738682013
82005753,4,82216000030651,66.40028937,-128.2580988,743730147.777,30.64641,0.10731,91.081011,5.159867,Canada_10LD004,66,0.05665140234334904
82005753,225,82216000030651,66.40021798,-128.2572673,744988870.455,29.99711,0.18425,29.754032,2.797783,Canada_10LD004,66,0.09403038216803693
82005753,66,82216000030651,66.4003747,-128.2580846,746390981.038,29.83908,0.09452,107.841622,10.334861,Canada_10LD004,66,0.09583369397021865
82005753,89,82216000030651,66.40033187,-128.2583472,747335559.572,29.89228,0.09707,118.10528,8.269037,Canada_10LD004,66,0.07001411791242526
82005753,231,82216000030651,66.3998455,-128.2585998,747736144.901,29.79967,0.3326,39.236351,0.639004,Canada_10LD004,66,0.016286020073579217
82005753,498,82216000030651,66.40041005,-128.2584429,748193687.446,29.92843,0.10313,95.240959,5.038305,Canada_10LD004,66,0.05290061180505333
82005753,260,82216000030651,66.4004805,-128.2572507,748594280.69,30.04787,0.22743,7.334269,0.233347,Canada_10LD004,66,0.031815986023965036
82005753,264,82216000030651,66.40031745,-128.2581666,751341551.798,30.16524,0.11644,181.4975,7.249682,Canada_10LD004,66,0.039943701703880216
82005753,685,82216000030651,66.40039834,-128.2579871,751799094.106,30.01215,0.10667,110.865105,8.208252,Canada_10LD004,66,0.07403819263058471
82005753,170,82216000030651,66.400426,-128.2585567,752199688.416,30.14112,0.1198,166.278006,6.52031,Canada_10LD004,66,0.03921330401328003
82005753,0,82216000030651,66.4003883,-128.2581938,752743672.153,29.70342,0.12562,62.809556,4.869199,Canada_10LD004,66,0.07752321955595419
82005753,244,82216000030651,66.40047722,-128.2583826,753144256.955,29.36162,0.12108,158.324193,5.528224,Canada_10LD004,66,0.0349171146572653
82005753,11,82216000030651,66.40054961,-128.2578123,753601799.196,29.43156,0.12182,125.418289,6.213963,Canada_10LD004,66,0.04954590793373046
82005753,345,82216000030651,66.40041629,-128.2564342,755404504.504,29.54487,0.25128,58.490265,3.976799,Canada_10LD004,66,0.06799078444934384
82005753,536,82216000030651,66.4004531,-128.2570791,755805097.359,30.63904,0.24899,86.033135,4.72179,Canada_10LD004,66,0.05488338882454999
82005753,69,82216000030651,66.40033575,-128.2579721,756349081.274,30.18277,0.12103,94.043666,6.713704,Canada_10LD004,66,0.07138922040746476
82005753,60,82216000030651,66.40034427,-128.2582071,757207210.493,29.00842,0.13806,145.817566,9.353625,Canada_10LD004,66,0.06414607825781428
82005753,290,82216000030651,66.40060427,-128.2584888,757607804.069,30.58468,0.14844,263.151921,9.74132,Canada_10LD004,66,0.03701785631274187
82005753,0,82216000030651,66.40040859,-128.258372,758151787.111,29.83544,0.13101,56.450222,3.872811,Canada_10LD004,66,0.06860577093921792
82005753,40,82216000030651,66.40014802,-128.2578014,759009915.727,29.55878,0.17315,193.758844,8.790405,Canada_10LD004,66,0.04536776138073986
82005753,72,82216000030651,66.40018349,-128.2578836,759954493.381,30.65721,0.1217,160.300014,8.077663,Canada_10LD004,66,0.050390906391311975
82005753,42,82216000030651,66.40024186,-128.2561022,760355078.11,31.19395,0.22209,294.821982,7.956422,Canada_10LD004,66,0.026987207487126928
82005753,341,82216000030651,66.40046022,-128.2571504,760812620.163,29.85081,0.20689,209.118232,8.789769,Canada_10LD004,66,0.04203253306005379
82005753,577,82216000030651,66.40044274,-128.2572694,761757198.438,30.89714,0.33647,88.421186,1.521878,Canada_10LD004,66,0.01721168951522546
82005753,332,82216000030651,66.40015935,-128.2577205,762615325.728,29.55305,0.17521,275.389999,11.99379,Canada_10LD004,66,0.043552017297476375
82005753,201,82216000030651,66.4004089,-128.2569415,763015918.799,31.07622,0.19992,69.090037,4.143631,Canada_10LD004,66,0.05997436359746052
82005753,239,82216000030651,66.40007396,-128.257707,763559901.083,30.92734,0.11851,158.671803,8.563613,Canada_10LD004,66,0.053970603712116386
82005753,337,82216000030651,66.39998524,-128.2578044,767565895.91,30.64483,0.24665,47.985481,4.283931,Canada_10LD004,66,0.08927556649895829
82005753,116,82216000030651,66.40039944,-128.258791,768023437.04,30.04809,0.19292,166.440201,11.443228,Canada_10LD004,66,0.06875278887700935
82005753,510,82216000030651,66.40029965,-128.2571864,768424031.433,30.39814,0.11732,56.496296,3.329545,Canada_10LD004,66,0.058933863558064056
